epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4521.17,0.89534,0.8561,1.41472,0.9173,0.87771,0.94108,0.70672,0.90817,0.60015,1.44654,0.005842,0.005842,0.005842
44,4625.52,0.89172,0.84927,1.41154,0.92511,0.86655,0.93672,0.69987,0.91556,0.60935,1.45762,0.005743,0.005743,0.005743
45,4730.08,0.88334,0.83554,1.4031,0.91493,0.88513,0.94038,0.70749,0.89995,0.60923,1.44603,0.005644,0.005644,0.005644
46,4834.61,0.86988,0.83357,1.39725,0.91022,0.87704,0.93679,0.70436,0.89666,0.61192,1.44827,0.005545,0.005545,0.005545
47,4939.83,0.8837,0.84458,1.40396,0.91285,0.8813,0.93899,0.70871,0.88473,0.60134,1.42882,0.005446,0.005446,0.005446
48,5044.64,0.87251,0.82561,1.39897,0.92767,0.87078,0.94177,0.71296,0.88125,0.58282,1.42582,0.005347,0.005347,0.005347
49,5149.45,0.87634,0.81949,1.39397,0.93093,0.87337,0.94099,0.7137,0.89282,0.57816,1.43823,0.005248,0.005248,0.005248
50,5254.35,0.87062,0.81143,1.39333,0.92787,0.87456,0.94004,0.71294,0.88782,0.58176,1.43522,0.005149,0.005149,0.005149
51,5359,0.87358,0.81718,1.39374,0.92801,0.8766,0.94142,0.71606,0.88192,0.58136,1.4225,0.00505,0.00505,0.00505
52,5464.27,0.86724,0.81065,1.38708,0.91741,0.88702,0.94387,0.71987,0.88035,0.5706,1.42158,0.004951,0.004951,0.004951
53,5569.36,0.8584,0.80711,1.38158,0.91903,0.88621,0.94225,0.71964,0.8734,0.57042,1.41684,0.004852,0.004852,0.004852
54,5674.6,0.85489,0.80321,1.38111,0.92989,0.8759,0.94309,0.72333,0.87051,0.57095,1.41669,0.004753,0.004753,0.004753
55,5779.35,0.85496,0.79327,1.38061,0.91851,0.8821,0.94402,0.72259,0.87087,0.5643,1.41762,0.004654,0.004654,0.004654
56,5884.36,0.85178,0.78061,1.37921,0.92054,0.89482,0.94464,0.72509,0.87026,0.56009,1.41027,0.004555,0.004555,0.004555
57,5989.13,0.85137,0.78295,1.37653,0.92329,0.88681,0.94738,0.72795,0.85946,0.55754,1.40602,0.004456,0.004456,0.004456
58,6094.66,0.84186,0.78365,1.37221,0.92571,0.87889,0.94543,0.72397,0.86491,0.56465,1.41703,0.004357,0.004357,0.004357
59,6199.91,0.84585,0.77214,1.37188,0.92064,0.88401,0.94485,0.72806,0.85894,0.56253,1.40586,0.004258,0.004258,0.004258
60,6305.1,0.84514,0.77207,1.36757,0.92137,0.88702,0.9441,0.72789,0.86205,0.55675,1.40652,0.004159,0.004159,0.004159
61,6410.23,0.84124,0.77334,1.36835,0.93074,0.88164,0.94572,0.7301,0.85433,0.56071,1.39828,0.00406,0.00406,0.00406
62,6515.23,0.82736,0.7611,1.36072,0.93011,0.88186,0.94525,0.73104,0.84326,0.55322,1.38795,0.003961,0.003961,0.003961
63,6619.85,0.83078,0.76526,1.36032,0.91944,0.89346,0.94675,0.73185,0.84708,0.55291,1.38926,0.003862,0.003862,0.003862
64,6725.02,0.82948,0.75272,1.35586,0.93465,0.88319,0.94802,0.73556,0.84264,0.54864,1.38434,0.003763,0.003763,0.003763
65,6829.78,0.82627,0.75302,1.35622,0.926,0.88544,0.94773,0.73404,0.84677,0.54666,1.38862,0.003664,0.003664,0.003664
66,6934.95,0.82312,0.75715,1.35271,0.91458,0.8965,0.94768,0.73261,0.84028,0.5419,1.38428,0.003565,0.003565,0.003565
67,7040.14,0.82049,0.7498,1.35113,0.92585,0.89093,0.94696,0.73087,0.84592,0.54214,1.38668,0.003466,0.003466,0.003466
68,7145.22,0.81862,0.75083,1.3529,0.91593,0.90281,0.94818,0.73589,0.8386,0.53968,1.38058,0.003367,0.003367,0.003367
69,7250.27,0.81285,0.73473,1.34237,0.91362,0.90313,0.94886,0.73505,0.84057,0.54164,1.38229,0.003268,0.003268,0.003268
70,7355.51,0.81777,0.73229,1.35094,0.92657,0.8949,0.94888,0.73737,0.83774,0.53894,1.38062,0.003169,0.003169,0.003169
71,7460.53,0.80575,0.72292,1.33822,0.92417,0.89624,0.94964,0.7367,0.83762,0.53646,1.38039,0.00307,0.00307,0.00307
